# BILL OF MATERIALS / DEVICE SCHEDULE - Paxton Carnegie Library
# Sistema Fire-Lite Alarms (Honeywell) MS-9600LS direccionable. Corrientes verificadas contra manual PN 52646:B Tabla 5.3 y datasheet System Sensor AVDS102.
# Compatibilidad panel-notificacion: Fire-Lite Device Compatibility Document P/N 15384:BR, pag. 12.
ID,Dispositivo,Fabricante,Modelo,Funcion,Cantidad,Voltaje,I standby (A),I alarma (A),Alimentacion,Compatible con panel,Tipo conexion,Norma justificacion,Ubicaciones,Datasheet
FACP-1,Panel de control direccionable,Fire-Lite Alarms (Honeywell),MS-9600LS,Control central del sistema,1,120 VAC / 24 VDC,0.150 (0.120 en bateria),0.170,Red 120 VAC dedicada,-,-,NFPA 72 cap. 10 / UL 864,Electrical Room (sotano),DF-60334:A6
ANN-1,Anunciador remoto LCD,Fire-Lite Alarms (Honeywell),ANN-80,Anunciacion en entrada principal,1,24 VDC,0.037 (0.015 en bateria),0.040,ANN-BUS EIA-485,Si,ANN-BUS,Acceso del cuerpo de bomberos,East Foyer (piso 1),DF-52417:D
DET-1,Detector de humo fotoelectrico,Fire-Lite Alarms (Honeywell),SD355,Deteccion de humo,15,24 VDC,0.00030,valor global de lazo,Lazo SLC,Si,Direccionable,NFPA 72 cap. 17,D-101 a D-108 / D-001 a D-007,DF-52384:D
DET-2,Detector termico fijo + razon de aumento,Fire-Lite Alarms (Honeywell),H355R,Deteccion termica,2,24 VDC,0.00030,valor global de lazo,Lazo SLC,Si,Direccionable,NFPA 72 cap. 17,H-001 y H-002 (cuartos mecanicos),DF-52385:D
BAS-1,Base de detector bajo perfil,Fire-Lite Alarms (Honeywell),B210LP,Base de montaje y cableado (6.1 pulg diam),17,-,-,-,Lazo SLC,Si - es la base INCLUIDA con el SD355 y el H355R,Enchufable,-,Una por detector (viene incluida; no se compra aparte),DF-52384:D / DF-52385:D / DF-60059:G
MPS-1,Estacion manual direccionable,Fire-Lite Alarms (Honeywell),BG-12LX,Alarma manual,4,24 VDC,0.00030,valor global de lazo,Lazo SLC,Si,Direccionable,NFPA 72 cap. 17,M-101 M-102 M-001 M-002,DF-52013:D
HS-1,Horn/Strobe 15 cd,System Sensor (Honeywell),P2R,Notificacion audible y visual,7,24 VDC (rango 16-33 V),0,0.079,Circuito NAC,Si (DCD 15384:BR pag.12),NAC Clase B,NFPA 72 cap. 18,N-102 N-104 N-107 N-108 N-002 N-004 N-007,AVDS102
HS-2,Horn/Strobe 30 cd,System Sensor (Honeywell),P2R,Notificacion audible y visual,3,24 VDC (rango 16-33 V),0,0.107,Circuito NAC,Si (DCD 15384:BR pag.12),NAC Clase B,NFPA 72 cap. 18,N-103 N-001 N-003,AVDS102
HS-3,Horn/Strobe 75 cd,System Sensor (Honeywell),P2R,Notificacion audible y visual,1,24 VDC (rango 16-33 V),0,0.176,Circuito NAC,Si (DCD 15384:BR pag.12),NAC Clase B,NFPA 72 cap. 18,N-101 (Stacks 28.3x28.3 ft),AVDS102
STR-1,Strobe 15 cd,System Sensor (Honeywell),SR,Notificacion visual,4,24 VDC (rango 16-33 V),0,0.066,Circuito NAC,Si (DCD 15384:BR pag.12),NAC Clase B,NFPA 72 cap. 18,N-105 N-106 N-005 N-006,AVDS102
BAT-1,Bateria sellada plomo-acido,Fire-Lite Alarms (Honeywell) - celdas Power-Sonic,BAT-12120 (Power-Sonic PS-12120),Energia secundaria,2,12 V / 12 AH c/u (24 V en serie),-,-,Cargador del panel,Si - serie BAT recomendada por Fire-Lite; el panel exige min. 12 AH,Terminales de bateria (2 en serie),NFPA 72: 24 h + 5 min,Gabinete del FACP,DF-52397:C1
EOL-1,Resistencia de fin de linea,Fire-Lite Alarms (Honeywell),P/N 71252,Supervision de NAC,4,-,-,-,-,Si,Extremo de cada NAC,Supervision Clase B,Una por NAC,DF-60334:A6
CBL-1,Cable de lazo SLC,Belden o Genesis (listados por Fire-Lite),Belden 5220UL/6220UL o Genesis WG-4311/WG-4511,Lazo de deteccion,~1200 ft,-,-,-,-,Cables listados para modo LiteSpeed,Style 4 (Clase B),NEC Art. 760,Par trenzado sin blindaje 16 AWG. Max 4875 ft; R c.c. del lazo <= 40 ohm,Doc 51309 tabla 2.2
