# Tabla 5.4 del manual Fire-Lite 52646:B. NFPA 72 sistema Local: 24 h standby + 5 min alarma.
Parametro,Valor,Unidad,Notas / Formula
Carga standby secundaria (Col 3),0.1413,A,De la hoja 2 (Tabla 5.3 Col 3)
Tiempo de standby requerido,24,h,NFPA 72 sistema Local
AH standby,3.3912,Ah,= 0.1413 x 24
Carga en alarma sin NAC (Col 2),0.6100,A,Panel + ANN-80 + 0.400 A global del lazo SLC
Corriente total de los 4 NAC,1.3140,A,Suma de NAC-1 a NAC-4 (hoja 4)
Tiempo de alarma requerido,5,min,Factor 0.084 h segun Tabla 5.4
AH alarma,0.1616,Ah,= (0.6100 + 1.3140) x 0.084 = 1.9240 x 0.084
Factor de derating,1.2,-,Exigido por la Tabla 5.4 del manual
CAPACIDAD CALCULADA,4.2634,Ah,= (3.3912 + 0.1616) x 1.2
BATERIA MINIMA DEL PANEL,12,Ah,El panel no admite menos de 12 Ah -> GOBIERNA EL MINIMO
BATERIA SELECCIONADA,12,Ah,Dos baterias de 12 V 12 Ah en serie
Maximo en gabinete,18,Ah,Mas de 18 Ah exige gabinete externo BB-26 o BB-55F
Maximo del cargador,26,Ah,
,,,
--- VERIFICACION LONGITUD SLC (rev B) ---,,,
Longitud estimada del lazo,1200,ft,Envolvente conservadora; recorrido medido ~600 ft con holgura
Maximo con 16 AWG,4875,ft,Doc 51309 tablas 2.1 y 2.2. OJO: los 10000 ft son del 12 AWG
Utilizacion,24.6,%,OK
Resistencia c.c. del lazo,11.7,ohm,= 2 x 1.2 kft x 4.89 ohm/kft
Maximo Style 4,40,ohm,Doc 51309 seccion 2.2.1. OK
,,,
--- VERIFICACION SLC ---,,,
Detectores usados,17,-,15 humo + 2 termicos
Maximo detectores por lazo,159,-,Hoja tecnica DF-60334
Utilizacion detectores,10.7,%,OK
Modulos usados,4,-,Estaciones manuales BG-12LX
Maximo modulos por lazo,159,-,
Utilizacion modulos,2.5,%,OK
Lazos SLC requeridos,1,-,No se necesita el modulo SLC-2LS de segundo lazo
,,,
--- VERIFICACION NAC ---,,,
NAC disponibles en el panel,4,-,Style Y Clase B
Maximo por NAC,3.0,A,Special application
Maximo global en alarma,7.0,A,NAC + potencia auxiliar
